variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-10 13:00:00+00:00,9.73578,15.663991,99182.96,286.03268,0.71498555
2015-01-10 14:00:00+00:00,10.066816,16.213776,99105.625,285.9496,0.7149603
2015-01-10 15:00:00+00:00,10.389578,16.708736,99100.41,285.84366,0.714652
2015-01-10 16:00:00+00:00,10.415733,16.704332,99109.03,284.86264,0.71450025
2015-01-10 17:00:00+00:00,10.12967,16.330137,99277.125,281.91885,0.7155813
2015-01-10 18:00:00+00:00,9.646727,15.75387,99480.15,280.70798,0.7153237
2015-01-10 19:00:00+00:00,9.399474,15.206062,99597.43,280.04126,0.7149764
2015-01-10 20:00:00+00:00,9.481311,15.279558,99709.49,279.6494,0.71462214
2015-01-10 21:00:00+00:00,9.17173,14.850516,99810.9,279.13986,0.71435994
2015-01-10 22:00:00+00:00,8.23695,13.493549,99918.805,278.46484,0.714215
2015-01-10 23:00:00+00:00,8.207722,13.47184,99960.875,278.1422,0.7141552
2015-01-11 00:00:00+00:00,8.347085,13.645766,99978.34,277.77875,0.7141276
2015-01-11 01:00:00+00:00,8.267754,13.43923,100003.164,277.59113,0.7141092
2015-01-11 02:00:00+00:00,7.88606,12.913831,100014.03,277.3038,0.71409076
2015-01-11 03:00:00+00:00,7.382482,12.191573,99981.22,277.15842,0.7140678
2015-01-11 04:00:00+00:00,7.309092,12.07957,99945.22,277.0234,0.7140655
2015-01-11 05:00:00+00:00,7.502543,12.231582,99912.09,276.85727,0.7140701
2015-01-11 06:00:00+00:00,7.515652,12.225343,99881.414,276.74857,0.7140701
2015-01-11 07:00:00+00:00,7.6750045,12.371829,99879.28,276.70425,0.7140747
2015-01-11 08:00:00+00:00,7.9355774,12.685301,99910.6,276.74786,0.7140816
2015-01-11 09:00:00+00:00,8.388921,13.225376,99915.07,276.9507,0.7140747
2015-01-11 10:00:00+00:00,6.7024484,10.822377,99956.94,277.1245,0.7147141
2015-01-11 11:00:00+00:00,8.314473,12.59404,100000.93,277.0068,0.7144611
2015-01-11 12:00:00+00:00,7.67069,12.020671,100026.7,277.11618,0.7157906
2015-01-11 13:00:00+00:00,8.911407,14.04189,100063.77,277.06912,0.7152846
2015-01-11 14:00:00+00:00,8.614158,13.652555,100093.71,276.66757,0.7144243
2015-01-11 15:00:00+00:00,8.458623,13.600139,100133.66,276.0341,0.71469116
2015-01-11 16:00:00+00:00,8.51937,13.889764,100202.25,275.82983,0.71464974
2015-01-11 17:00:00+00:00,8.809942,14.227856,100230.586,275.915,0.71477395
2015-01-11 18:00:00+00:00,8.663393,13.97999,100270.74,276.34494,0.7152731
2015-01-11 19:00:00+00:00,8.332384,13.501284,100347.76,276.2134,0.71506834
2015-01-11 20:00:00+00:00,7.8666973,12.837899,100416.57,276.122,0.71530527
2015-01-11 21:00:00+00:00,7.4663024,12.075721,100508.29,275.98148,0.7156043
2015-01-11 22:00:00+00:00,6.3603063,11.051451,100603.41,275.59723,0.7156618
2015-01-11 23:00:00+00:00,6.487673,11.000391,100645.695,275.8963,0.71567327
2015-01-12 00:00:00+00:00,6.579322,11.2236185,100694.91,276.28403,0.7156802
2015-01-12 01:00:00+00:00,6.2855244,10.892987,100727.93,276.54642,0.71567327
2015-01-12 02:00:00+00:00,6.327089,10.810091,100759.88,276.8898,0.715717
2015-01-12 03:00:00+00:00,6.4366713,10.92649,100767.875,277.8639,0.7158113
2015-01-12 04:00:00+00:00,6.4987164,10.872801,100801.43,278.41638,0.7157239
2015-01-12 05:00:00+00:00,6.06021,10.217566,100749.766,278.32706,0.7155583
2015-01-12 06:00:00+00:00,6.150771,10.392012,100719.086,278.33124,0.71534437
2015-01-12 07:00:00+00:00,6.315055,10.668894,100731.555,278.21838,0.71516955
2015-01-12 08:00:00+00:00,6.513838,10.996864,100697.68,278.21075,0.71563417
2015-01-12 09:00:00+00:00,6.894212,11.534303,100673.71,278.55347,0.7156457
2015-01-12 10:00:00+00:00,6.9459953,11.482595,100667.11,279.00208,0.7155629
2015-01-12 11:00:00+00:00,7.0651197,11.716814,100598.4,279.3337,0.7155514
2015-01-12 12:00:00+00:00,7.34148,12.152181,100491.56,279.6134,0.7156526
2015-01-12 13:00:00+00:00,7.4340334,12.322758,100440.86,279.76434,0.715579
2015-01-12 14:00:00+00:00,7.604867,12.634434,100428.4,279.73874,0.7155123
2015-01-12 15:00:00+00:00,7.680411,12.784061,100424.34,279.7124,0.7154985
2015-01-12 16:00:00+00:00,7.590737,12.670209,100423.39,279.52133,0.71549386
2015-01-12 17:00:00+00:00,7.5391173,12.593302,100418.805,279.55734,0.7156181
2015-01-12 18:00:00+00:00,7.5281625,12.564275,100421.15,279.6771,0.7156871
2015-01-12 19:00:00+00:00,7.411864,12.399511,100425.305,279.9298,0.7154847
2015-01-12 20:00:00+00:00,7.346042,12.285787,100415.72,280.18597,0.7152386
2015-01-12 21:00:00+00:00,7.3063755,12.179922,100420.73,280.37912,0.71500164
2015-01-12 22:00:00+00:00,7.0926576,11.818881,100414.87,280.75644,0.7148659
2015-01-12 23:00:00+00:00,7.1802893,11.938906,100406.77,280.9309,0.7147601
2015-01-13 00:00:00+00:00,7.306703,12.151571,100402.3,280.9344,0.71497864
2015-01-13 01:00:00+00:00,7.1500454,11.958861,100401.875,281.01608,0.71523625
2015-01-13 02:00:00+00:00,6.829595,11.497567,100411.67,281.09708,0.71512353
2015-01-13 03:00:00+00:00,6.1891947,10.610204,100368.0,281.26877,0.71491194
2015-01-13 04:00:00+00:00,6.171401,10.576054,100320.49,281.42108,0.71476245
2015-01-13 05:00:00+00:00,6.4521637,10.944193,100268.3,281.49033,0.7146405
2015-01-13 06:00:00+00:00,6.5581355,11.095189,100248.164,281.70148,0.71450484
2015-01-13 07:00:00+00:00,6.5251045,11.066537,100193.945,281.81226,0.7143737
2015-01-13 08:00:00+00:00,6.661058,11.246791,100176.26,282.1051,0.7142679
2015-01-13 09:00:00+00:00,7.150794,11.89946,100151.98,282.49973,0.714192
2015-01-13 10:00:00+00:00,7.089069,11.701525,100065.055,283.1699,0.7141276
2015-01-13 11:00:00+00:00,7.205965,11.706515,100006.58,283.71268,0.7140839
2015-01-13 12:00:00+00:00,7.647403,12.331218,99936.375,284.3676,0.7140793
2015-01-13 13:00:00+00:00,7.6706486,12.422646,99847.43,284.97064,0.7140678
2015-01-13 14:00:00+00:00,7.581629,12.440326,99784.91,285.09943,0.71406317
2015-01-13 15:00:00+00:00,7.401238,12.414776,99760.94,284.7595,0.7140586
2015-01-13 16:00:00+00:00,7.257571,12.34796,99737.82,284.4355,0.714054
2015-01-13 17:00:00+00:00,7.433335,12.441301,99741.125,284.44238,0.7140586
2015-01-13 18:00:00+00:00,7.5321207,12.517257,99751.03,284.39877,0.71406317
2015-01-13 19:00:00+00:00,7.0223393,11.728139,99784.586,284.6951,0.7140425
2015-01-13 20:00:00+00:00,6.1107717,10.383631,99835.08,284.5954,0.7137987
2015-01-13 21:00:00+00:00,5.213853,9.37382,99907.086,283.98755,0.7148429
2015-01-13 22:00:00+00:00,5.04911,8.978399,99875.02,282.48035,0.7143185
2015-01-13 23:00:00+00:00,5.010718,9.062763,99929.34,281.59625,0.71547776
2015-01-14 00:00:00+00:00,4.9183297,8.783011,99923.59,281.18637,0.7154755
2015-01-14 01:00:00+00:00,4.7616754,8.512097,99957.15,281.07144,0.71541566
2015-01-14 02:00:00+00:00,4.723148,8.465477,99964.07,280.85684,0.7153467
